title,year,released_at,director,awards,imdb_votes
Rocky Mountain Animal Rescue,2018,03-Mar-18,N/A,N/A,5
Rogue One: A Star Wars Story,2016,16-Dec-16,Gareth Edwards,Nominated for 2 Oscars. Another 24 wins & 80 nominations.,"5,26,836"
Rookie of the Year,1993,07-Jul-93,Daniel Stern,1 win & 1 nomination.,"23,711"
Roving Mars,2006,27-Jan-06,George Butler,1 win & 1 nomination.,968
Ruby Bridges,1998,18-Jan-98,Euzhan Palcy,4 wins & 4 nominations.,607
Running Wild with Bear Grylls,2014–,28-Jul-14,N/A,N/A,"2,122"
Sacred Planet,2004,22-Apr-04,Jon Long,N/A,259
Saludos Amigos,1942,06-Feb-43,"Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Norman Ferguson",Nominated for 3 Oscars. Another 1 win.,"4,784"
"Sammy, the Way-Out Seal: Part 1",1962,28-Oct-62,Norman Tokar,N/A,140
Sanjay's Super Team,2015,25-Nov-15,Sanjay Patel,Nominated for 1 Oscar. Another 2 nominations.,"3,879"
Santa Paws 2: The Santa Pups,2012,20-Nov-12,Robert Vince,1 win.,"1,100"
Santa's Workshop,1932,10-Dec-32,Wilfred Jackson,N/A,"1,320"
Saving Mr. Banks,2013,20-Dec-13,John Lee Hancock,Nominated for 1 Oscar. Another 14 wins & 72 nominations.,"1,47,182"
Science Fair,2018,19-Oct-18,"Cristina Costantini, Darren Foster",N/A,331
Sea of Hope: America's Underwater Treasures,2017,01-Jan-17,Robert Nixon,N/A,N/A
Sea Scouts,1939,30-Jun-39,Dick Lundy,N/A,556
Secret of the Wings,2012,14-Dec-12,"Roberts Gannaway, Peggy Holmes",1 win & 5 nominations.,"10,155"
Secretariat,2010,08-Oct-10,Randall Wallace,4 wins & 6 nominations.,"25,455"
The Secret of Christ's Tomb,2017,03-Dec-17,Robert Strange,N/A,7
Secrets of Life,1956,06-Nov-56,James Algar,1 win.,126
Secrets of the King Cobra,2010,10-Apr-10,N/A,N/A,6
Secrets of the Zoo,2018–,29-Jul-18,N/A,N/A,76
,,,,,
Shake It Up,2010–2013,07-Nov-10,N/A,3 wins & 18 nominations.,"10,911"
Sharks of Lost Island,2013,01-Nov-13,Neil Gelinas,N/A,N/A
Sharpay's Fabulous Adventure,2011,19-Apr-11,Michael Lembeck,1 nomination.,"5,651"
Sheriff Callie's Wild West,2014–,20-Jan-14,N/A,4 nominations.,503
Shipwrecked,1990,01-Mar-91,Nils Gaup,3 nominations.,"2,364"
Shop Class,2020–,28-Feb-20,N/A,N/A,16
Silver Surfer,1998,07-Feb-98,N/A,1 nomination.,"1,778"
The Simpsons Movie,2007,27-Jul-07,David Silverman,Nominated for 1 Golden Globe. Another 5 wins & 33 nominations.,"3,02,244"
Sister Act,1992,29-May-92,Emile Ardolino,Nominated for 2 Golden Globes. Another 9 wins & 8 nominations.,"83,764"
Sister Act 2: Back in the Habit,1993,10-Dec-93,Bill Duke,1 win & 3 nominations.,"47,046"
Skyrunners,2009,27-Nov-09,Ralph Hemecker,1 win & 1 nomination.,"1,022"
Sleeping Beauty,1959,25-Dec-59,"Clyde Geronimi, Les Clark, Hamilton Luske, Wolfgang Reitherman",Nominated for 1 Oscar. Another 4 wins & 5 nominations.,"1,29,694"
Smart Guy,1997–1999,26-Mar-97,N/A,7 nominations.,"4,198"
Smart House,1999,26-Jun-99,LeVar Burton,2 nominations.,"5,998"
Smash and Grab,2019,11-Feb-19,Brian Larsen,N/A,399
Snow Dogs,2002,18-Jan-02,Brian Levant,1 win.,"24,563"
Snow White and the Seven Dwarfs,1937,04-Feb-38,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen",Nominated for 1 Oscar. Another 11 wins & 5 nominations.,"1,74,379"
Snowball Express,1972,22-Jun-73,Norman Tokar,N/A,"1,355"
Snowglobe,2007,15-Dec-07,Ron Lagomarsino,1 win.,"2,043"
So Weird,1999–2001,18-Jan-99,N/A,7 nominations.,"2,519"
Society Dog Show,1939,03-Feb-39,Bill Roberts,N/A,350
Sonny with a Chance,2009–2011,08-Feb-09,N/A,2 wins & 6 nominations.,"10,074"
Soy Luna,2016–,14-Mar-16,N/A,N/A,833
Spider-Man,1981–1982,12-Sep-81,N/A,N/A,943
Spider-Man and His Amazing Friends,1981–1986,12-Sep-81,N/A,1 nomination.,"2,704"
Spider-Man Unlimited,1999–2005,02-Oct-99,N/A,N/A,"2,517"
Spider-Woman,1979–1980,22-Sep-79,N/A,N/A,438
Splash,1984,09-Mar-84,Ron Howard,Nominated for 1 Oscar. Another 2 wins & 8 nominations.,"65,908"
Star Wars: Forces of Destiny,2017–,03-Jul-17,N/A,1 win.,"1,105"
Star Wars Rebels,2014–2018,26-Sep-14,N/A,Nominated for 4 Primetime Emmys. Another 7 wins & 25 nominations.,"24,977"
,,,,,
Star Wars Resistance,2018–,01-Oct-18,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 1 nomination.,"3,403"
Star Wars: Episode IV - A New Hope,1977,25-May-77,George Lucas,Won 6 Oscars. Another 52 wins & 28 nominations.,"11,88,658"
Star Wars: Episode II - Attack of the Clones,2002,16-May-02,George Lucas,Nominated for 1 Oscar. Another 19 wins & 63 nominations.,"6,13,768"
Star Wars Blips,2017,03-May-17,N/A,N/A,29
Star Wars: Episode VI - Return of the Jedi,1983,25-May-83,Richard Marquand,Nominated for 4 Oscars. Another 22 wins & 16 nominations.,"9,12,250"
Star Wars: Episode III - Revenge of the Sith,2005,19-May-05,George Lucas,Nominated for 1 Oscar. Another 26 wins & 61 nominations.,"6,81,075"
Star Wars: The Clone Wars,2008–2020,03-Oct-08,N/A,23 wins & 68 nominations.,"47,308"
Star Wars: The Clone Wars,2008,15-Aug-08,Dave Filoni,2 nominations.,"53,973"
Star Wars: Episode V - The Empire Strikes Back,1980,20-Jun-80,Irvin Kershner,Won 1 Oscar. Another 24 wins & 20 nominations.,"11,09,656"
Star Wars: Episode VII - The Force Awakens,2015,18-Dec-15,J.J. Abrams,Nominated for 5 Oscars. Another 62 wins & 125 nominations.,"8,33,706"
Star Wars: Episode VIII - The Last Jedi,2017,15-Dec-17,Rian Johnson,Nominated for 4 Oscars. Another 22 wins & 88 nominations.,"5,32,835"
Star Wars: Episode I - The Phantom Menace,1999,19-May-99,George Lucas,Nominated for 3 Oscars. Another 26 wins & 65 nominations.,"6,98,744"
,,,,,
Stargirl,2020,13-Mar-20,Julia Hart,N/A,"2,130"
StarStruck,2010,14-Feb-10,Michael Grossman,2 nominations.,"12,305"
Steamboat Willie,1928,01-Jan-29,"Ub Iwerks, Walt Disney",1 win.,"6,678"
Stepsister from Planet Weird,2000,17-Jun-00,Steve Boyum,N/A,"1,317"
Stitch! The Movie,2003,25-Aug-03,"Tony Craig, Roberts Gannaway",2 nominations.,"7,622"
Stonehenge: Decoded,2008,01-May-08,Christopher Spencer,1 nomination.,133
Stuck in the Suburbs,2004,16-Jul-04,Savage Steve Holland,N/A,"3,395"
The Sultan and the Rock Star,1980,20-Apr-80,N/A,N/A,12
Super Buddies,2013,27-Aug-13,Robert Vince,1 win.,"1,089"
Super Rhino,2009,22-Mar-09,Nathan Greno,N/A,854
Supercar Superbuild,2014–,08-Oct-14,N/A,N/A,40
Swiss Family Robinson,1940,08-Feb-40,Edward Ludwig,N/A,324
Swiss Family Robinson,1960,21-Dec-60,Ken Annakin,N/A,"13,189"
TaleSpin,1990–1991,07-Sep-90,N/A,Won 1 Primetime Emmy. Another 5 nominations.,"12,743"
Tall Tale,1995,24-Mar-95,Jeremiah S. Chechik,N/A,"3,246"
Tangled,2010,24-Nov-10,"Nathan Greno, Byron Howard",Nominated for 1 Oscar. Another 10 wins & 40 nominations.,"3,90,220"
Tangled: Before Ever After,2017,10-Mar-17,"Tom Caulfield, Stephen Sandoval",1 win & 5 nominations.,"1,861"
Tangled: The Series,2017–2020,24-Mar-17,N/A,5 wins & 9 nominations.,"1,598"
Tarzan & Jane,2002,23-Jul-02,"Steve Loter, Victor Cook, Don MacKinnon, Lisa Schaffer(co-director)",4 nominations.,"5,264"
Teacher's Pet,2004,16-Jan-04,Timothy Björklund,2 nominations.,"1,471"
Teacher's Pet,2000–2005,01-Sep-00,N/A,8 wins & 4 nominations.,378
Teen Beach 2,2015,26-Jun-15,Jeffrey Hornaday,2 wins & 3 nominations.,"3,331"
Teen Beach Movie,2013,19-Jul-13,Jeffrey Hornaday,2 nominations.,"8,886"
Teen Spirit,2011,07-Aug-11,Gil Junger,N/A,"6,775"
That Darn Cat,1997,14-Feb-97,Bob Spiers,2 nominations.,"3,952"
That Darn Cat!,1965,02-Dec-65,Robert Stevenson,6 nominations.,"5,542"
That's So Raven,2003–2007,17-Jan-03,N/A,Nominated for 2 Primetime Emmys. Another 14 wins & 29 nominations.,"16,953"
The Absent Minded Professor,1961,16-Mar-61,Robert Stevenson,Nominated for 3 Oscars. Another 1 win & 5 nominations.,"6,856"
,,,,,
The Adventures of Bullwhip Griffin,1967,08-Mar-67,James Neilson,N/A,603
The Adventures of Huck Finn,1993,02-Apr-93,Stephen Sommers,N/A,"7,451"
The Adventures of Ichabod and Mr. Toad,1949,06-Jan-50,"James Algar, Clyde Geronimi, Jack Kinney",N/A,"11,917"
The Adventures of Spin and Marty,1955–,04-Nov-55,N/A,N/A,166
The African Lion,1955,14-Sep-55,James Algar,3 wins.,286
The Apple Dumpling Gang,1975,01-Jul-75,Norman Tokar,N/A,"4,710"
The Apple Dumpling Gang Rides Again,1979,27-Jun-79,Vincent McEveety,N/A,"2,270"
The Aristocats,1970,24-Dec-70,Wolfgang Reitherman,3 wins.,"89,029"
The Art of Skiing,1941,14-Nov-41,"Jack Kinney, Bill Roberts",N/A,"1,061"
The Avengers: Earth's Mightiest Heroes,2010–2012,22-Sep-10,N/A,8 nominations.,"12,505"
Avengers: United They Stand,1999–2000,30-Oct-99,N/A,N/A,682
The Band Concert,1935,23-Feb-35,Wilfred Jackson,1 win.,"2,714"
The Bears and I,1974,31-Jul-74,Bernard McEveety,N/A,253
The BFG,2016,01-Jul-16,Steven Spielberg,4 wins & 25 nominations.,"73,906"
The Big Bad Wolf,1934,14-Apr-34,Burt Gillett,N/A,"1,381"
The Biscuit Eater,1972,22-Mar-72,Vincent McEveety,N/A,281
The Black Cauldron,1985,24-Jul-85,"Ted Berman, Richard Rich",N/A,"29,395"
The Black Hole,1979,21-Dec-79,Gary Nelson,Nominated for 2 Oscars. Another 6 nominations.,"22,422"
The Blue Umbrella,2013,21-Jun-13,Saschka Unseld,1 nomination.,"8,311"
,,,,,
The Book of Pooh,2001–2004,22-Jan-01,N/A,1 win & 3 nominations.,412
The Boy Who Talked to Badgers,1975,14-Sep-75,Gary Nelson,N/A,25
The Brave Little Toaster Goes to Mars,1998,18-May-98,"Robert C. Ramirez, Patrick A. Ventura",2 nominations.,"1,333"
The Castaway Cowboy,1974,01-Aug-74,Vincent McEveety,N/A,421
The Cat from Outer Space,1978,09-Jun-78,Norman Tokar,1 nomination.,"4,162"
The Cheetah Girls,2003,15-Aug-03,Oz Scott,6 nominations.,"6,690"
The Cheetah Girls 2,2006,25-Aug-06,Kenny Ortega,2 nominations.,"5,512"
The Cheetah Girls: One World,2008,22-Aug-08,Paul Hoen,2 nominations.,"3,779"
The Christmas Star,1986,14-Dec-86,Alan Shapiro,N/A,345
The Chronicles of Narnia: Prince Caspian,2008,16-May-08,Andrew Adamson,2 wins & 20 nominations.,"1,87,627"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,09-Dec-05,Andrew Adamson,Won 1 Oscar. Another 17 wins & 46 nominations.,"3,53,342"
The Color of Friendship,2000,05-Feb-00,Kevin Hooks,Won 1 Primetime Emmy. Another 4 wins & 3 nominations.,"3,027"
The Computer Wore Tennis Shoes,1969,24-Dec-69,Robert Butler,N/A,"4,208"
The Country Bears,2002,26-Jul-02,Peter Hastings,4 nominations.,"4,769"
,,,,,
,,,,,
The Emperor's New Groove,2000,15-Dec-00,Mark Dindal,Nominated for 1 Oscar. Another 7 wins & 26 nominations.,"1,71,721"
The Even Stevens Movie,2003,13-Jun-03,Sean McNamara,1 win & 5 nominations.,"6,241"
The Finest Hours,2016,29-Jan-16,Craig Gillespie,2 wins.,"59,000"
The Flood,2018,25-Nov-18,N/A,N/A,24
The Fox and the Hound,1981,10-Jul-81,"Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman",1 win & 2 nominations.,"81,227"
The Fox and the Hound 2,2006,11-Dec-06,Jim Kammerud,1 win.,"3,961"
The Game Plan,2007,28-Sep-07,Andy Fickman,3 nominations.,"56,291"
The Ghosts of Buxley Hall,1980,21-Dec-80,Bruce Bilson,N/A,97
The Goddess of Spring,1934,03-Nov-34,Wilfred Jackson,N/A,483
The Golden Touch,1935,22-Mar-35,Walt Disney,N/A,856
The Good Dinosaur,2015,25-Nov-15,Peter Sohn,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,"97,413"
The Great Mouse Detective,1986,02-Jul-86,"Ron Clements, Burny Mattinson, David Michener, John Musker",1 win & 3 nominations.,"42,723"
The Great Muppet Caper,1981,26-Jun-81,Jim Henson,Nominated for 1 Oscar. Another 1 nomination.,"12,993"
The Greatest Game Ever Played,2005,30-Sep-05,Bill Paxton,3 nominations.,"26,823"
The Haunted Mansion,2003,26-Nov-03,Rob Minkoff,1 win & 4 nominations.,"40,276"
The Hockey Champ,1939,28-Apr-39,Jack King,N/A,756
The Hunchback of Notre Dame,1996,21-Jun-96,"Gary Trousdale, Kirk Wise",Nominated for 1 Oscar. Another 8 wins & 21 nominations.,"1,35,545"
The Hunchback of Notre Dame 2: The Secret of the Bell,2002,19-Mar-02,Bradley Raymond,2 wins & 12 nominations.,"5,645"
The Imagineering Story,2019–,12-Nov-19,N/A,N/A,"1,194"
The Incredible Dr. Pol,2011–,N/A,N/A,N/A,999
Blue Ribbon Kids,2016,13-Aug-16,N/A,N/A,N/A
The Incredible Journey,1963,20-Nov-63,Fletcher Markle,N/A,"3,702"
The Incredibles,2004,05-Nov-04,Brad Bird,Won 2 Oscars. Another 65 wins & 56 nominations.,"6,33,057"
The Journey of Natty Gann,1985,27-Sep-85,Jeremy Kagan,Nominated for 1 Oscar. Another 1 win & 2 nominations.,"4,848"
The Jungle Book,1967,18-Oct-67,"Wolfgang Reitherman, James Algar, Jack Kinney",Nominated for 1 Oscar. Another 4 wins & 3 nominations.,"1,59,903"
The Jungle Book 2,2003,14-Feb-03,Steve Trenbirth,1 win & 9 nominations.,"14,354"
The Jungle Book: Mowgli's Story,1998,28-Sep-98,Nick Marck,N/A,625
The Last Song,2010,31-Mar-10,Julie Anne Robinson,4 wins & 10 nominations.,"78,380"
The Legend of Mor'du,2012,05-Dec-12,Brian Larsen,N/A,"1,084"
The Lion King,2019,19-Jul-19,Jon Favreau,Nominated for 1 Oscar. Another 14 wins & 32 nominations.,"1,89,877"
The Lion King 3: Hakuna Matata,2004,10-Feb-04,Bradley Raymond,6 wins & 10 nominations.,"35,523"
The Lion King 2: Simba's Pride,1998,27-Oct-98,"Darrell Rooney, Rob LaDuca(co-director)",3 wins & 3 nominations.,"58,256"
The Lion King,1994,24-Jun-94,"Roger Allers, Rob Minkoff",Won 2 Oscars. Another 35 wins & 34 nominations.,"9,01,362"
The Little Mermaid,1989,17-Nov-89,"Ron Clements, John Musker",Won 2 Oscars. Another 10 wins & 8 nominations.,"2,27,707"
The Little Mermaid 2: Return to the Sea,2000,19-Sep-00,"Jim Kammerud, Brian Smith(co-director)",4 nominations.,"16,648"
The Little Mermaid: Ariel's Beginning,2008,25-Aug-08,Peggy Holmes,2 nominations.,"8,001"
,,,,,
The Living Desert,1953,10-Nov-53,James Algar,Won 1 Oscar. Another 6 wins & 2 nominations.,"1,139"
Lizzie McGuire,2003,02-May-03,Jim Fall,2 wins & 3 nominations.,"34,463"
The Lodge,2016–,17-Oct-16,N/A,N/A,345
The Lost Tomb of Alexander the Great,2019,04-Mar-19,Duncan Singh,N/A,32
The Love Bug,1968,13-Mar-69,Robert Stevenson,1 win & 2 nominations.,"13,617"
The Mandalorian,2019–,12-Nov-19,N/A,5 wins & 10 nominations.,"1,57,153"
The Many Adventures of Winnie the Pooh,1977,11-Mar-77,"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen",1 nomination.,"31,065"
The Million Dollar Duck,1971,30-Jun-71,Vincent McEveety,N/A,"1,886"
The Mistle-Tones,2012,09-Dec-12,Paul Hoen,N/A,"1,843"
The Muppet Christmas Carol,1992,11-Dec-92,Brian Henson,2 wins & 1 nomination.,"45,861"
The Muppet Movie,1979,22-Jun-79,James Frawley,Nominated for 2 Oscars. Another 4 wins & 9 nominations.,"31,198"
The Muppets,2011,23-Nov-11,James Bobin,Won 1 Oscar. Another 16 wins & 43 nominations.,"84,999"
The Muppets.,2015–2016,21-Jul-15,N/A,Nominated for 1 Primetime Emmy. Another 3 wins & 3 nominations.,"5,614"
The New Adventures of Winnie the Pooh,1988–1991,17-Jan-88,N/A,5 wins & 5 nominations.,"3,077"
The New Neighbor,1953,01-Aug-53,Jack Hannah,N/A,292
The Odd Life of Timothy Green,2012,15-Aug-12,Peter Hedges,1 win & 8 nominations.,"43,976"
The Old Mill,1937,05-Nov-37,Wilfred Jackson,Won 1 Oscar. Another 1 win.,"3,165"
The Olympic Champ,1942,09-Oct-42,Jack Kinney,N/A,634
The Olympic Elk,1952,13-Feb-52,James Algar,N/A,40
The Other Me,2000,08-Sep-00,Manny Coto,2 wins & 1 nomination.,"1,741"
The Parent Trap,1961,21-Jun-61,David Swift,Nominated for 2 Oscars. Another 2 wins & 6 nominations.,"18,041"
The Parent Trap,1998,29-Jul-98,Nancy Meyers,2 wins & 7 nominations.,"1,14,898"
The Pied Piper,1933,16-Sep-33,Wilfred Jackson,1 win.,659
The Plausible Impossible,1956,31-Oct-56,"William Beaudine, Wilfred Jackson",N/A,14
The Poof Point,2001,14-Sep-01,Neal Israel,N/A,466
The Prince and the Pauper,1962,06-Jan-81,Don Chaffey,N/A,33
The Prince and the Pauper,1990,16-Nov-90,George Scribner,N/A,"2,791"
The Princess and the Frog,2009,11-Dec-09,"Ron Clements, John Musker",Nominated for 3 Oscars. Another 11 wins & 38 nominations.,"1,17,082"
The Princess Bride,1987,09-Oct-87,Rob Reiner,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,"3,77,085"
The Princess Diaries,2001,03-Aug-01,Garry Marshall,3 wins & 11 nominations.,"1,23,037"
The Princess Diaries 2: Royal Engagement,2004,11-Aug-04,Garry Marshall,1 win & 2 nominations.,"70,904"
The Proud Family,2001–2005,15-Sep-01,N/A,6 wins & 23 nominations.,"5,951"
The Proud Family Movie,2005,19-Aug-05,Bruce W. Smith,3 nominations.,"1,430"
The Reluctant Dragon,1941,20-Jun-41,"Alfred L. Werker, Hamilton Luske, Jack Cutting, Ub Iwerks, Jack Kinney",N/A,"2,403"
The Replacements,2006–2009,28-Jul-06,N/A,1 nomination.,"2,409"
The Rescuers,1977,22-Jun-77,"John Lounsbery, Wolfgang Reitherman, Art Stevens",Nominated for 1 Oscar. Another 2 wins.,"55,743"
The Rescuers Down Under,1990,16-Nov-90,"Hendel Butoy, Mike Gabriel",6 wins.,"36,509"
The Rocketeer,1991,21-Jun-91,Joe Johnston,1 win & 6 nominations.,"50,945"
The Rookie,2002,29-Mar-02,John Lee Hancock,5 wins & 4 nominations.,"31,236"
The Sandlot: Heading Home,2007,01-May-07,William Dear,N/A,"1,746"
The Santa Clause,1994,11-Nov-94,John Pasquin,2 wins & 8 nominations.,"91,389"
The Santa Clause 2,2002,01-Nov-02,Michael Lembeck,1 win & 3 nominations.,"47,866"
The Santa Clause 3: The Escape Clause,2006,03-Nov-06,Michael Lembeck,4 wins & 9 nominations.,"31,254"
The Scream Team,2002,11-Oct-02,Stuart Gillard,N/A,774
The Secret of the Magic Gourd,2007,29-Jun-07,Frankie Chung,1 win & 1 nomination.,490
The Shaggy D.A.,1976,17-Dec-76,Robert Stevenson,N/A,"2,468"
The Shaggy Dog,1959,19-Mar-59,Charles Barton,1 win & 1 nomination.,"4,080"
The Sign of Zorro,1958,11-Jun-60,"Lewis R. Foster, Norman Foster",N/A,645
,,,,,
The Simpsons,1989–,17-Dec-89,N/A,Nominated for 1 Golden Globe. Another 168 wins & 302 nominations.,"3,28,282"
The Small One,1978,16-Dec-78,Don Bluth,N/A,"1,181"
The Sound of Music,1965,01-Apr-65,Robert Wise,Won 5 Oscars. Another 12 wins & 13 nominations.,"1,94,154"
The Story of Robin Hood and His Merrie Men,1952,26-Jun-52,Ken Annakin,N/A,"1,281"
The Straight Story,1999,03-Nov-99,David Lynch,Nominated for 1 Oscar. Another 19 wins & 39 nominations.,"77,452"
The Strongest Man in the World,1975,06-Feb-75,Vincent McEveety,N/A,"2,531"
The Suite Life Movie,2011,25-Mar-11,Sean McNamara,N/A,"3,051"
The Suite Life of Zack & Cody,2005–2008,18-Mar-05,N/A,Nominated for 3 Primetime Emmys. Another 8 wins & 20 nominations.,"30,964"
The Suite Life on Deck,2008–2011,26-Sep-08,N/A,6 wins & 5 nominations.,"14,716"
The Super Hero Squad Show,2009–2011,14-Sep-09,N/A,N/A,"1,410"
The Swap,2016,07-Oct-16,Jay Karas,3 nominations.,"1,522"
The Sword in the Stone,1963,21-Jun-64,"Wolfgang Reitherman, Clyde Geronimi, David Hand",Nominated for 1 Oscar. Another 1 win.,"85,169"
The Thirteenth Year,1999,15-May-99,Duwayne Dunham,1 nomination.,"4,525"
The Three Caballeros,1944,22-Feb-45,"Norman Ferguson, Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young",Nominated for 2 Oscars. Another 1 nomination.,"11,541"
The Three Musketeers,1993,12-Nov-93,Stephen Herek,2 wins & 3 nominations.,"48,683"
The Tigger Movie,2000,11-Feb-00,Jun Falkenstein,4 nominations.,"16,402"
The Tortoise and the Hare,1935,05-Jan-35,Wilfred Jackson,N/A,"2,028"
The Ugly Dachshund,1966,16-Feb-66,Norman Tokar,N/A,"3,244"
Ugly Duckling,1939,07-Apr-39,"Jack Cutting, Clyde Geronimi",N/A,"2,421"
The Ultimate Christmas Present,2000,01-Dec-00,Greg Beeman,2 wins & 3 nominations.,"1,478"
The Vanishing Prairie,1954,11-Jul-55,James Algar,Won 1 Oscar. Another 3 wins.,341
The Wild,2006,14-Apr-06,Steve 'Spaz' Williams,2 nominations.,"23,206"
The Wise Little Hen,1934,07-Jun-34,Wilfred Jackson,N/A,"1,567"
The Wizards Return: Alex vs. Alex,2013,15-Mar-13,Victor Gonzalez,2 nominations.,"4,934"
The Little Mermaid Live!,2019,05-Nov-19,"Hamish Hamilton, Ron Clements, John Musker",N/A,645
The World According to Jeff Goldblum,2019–,12-Nov-19,N/A,N/A,"1,121"
The Young Black Stallion,2003,25-Dec-03,Simon Wincer,1 nomination.,"1,008"
Those Calloways,1965,01-Mar-65,Norman Tokar,N/A,423
,,,,,
Three Days,2001,09-Dec-01,Michael Switzer,N/A,867
Three Little Pigs,1933,27-May-33,Burt Gillett,Won 1 Oscar. Another 1 win.,"4,805"
,,,,,
Three Men and a Baby,1987,25-Nov-87,Leonard Nimoy,2 wins & 1 nomination.,"45,155"
Three Men and a Little Lady,1990,21-Nov-90,Emile Ardolino,1 win & 1 nomination.,"21,881"
,,,,,
Thumbelina,1994,30-Mar-94,"Don Bluth, Gary Goldman",1 win.,"14,576"
Tiger Cruise,2004,06-Aug-04,Duwayne Dunham,3 nominations.,"1,166"
The Nightmare Before Christmas,1993,29-Oct-93,Henry Selick,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,"2,81,155"
Timmy Failure: Mistakes Were Made,2020,07-Feb-20,Tom McCarthy,N/A,"1,300"
Timon & Pumbaa,1995–1999,08-Sep-95,N/A,3 wins & 14 nominations.,"8,549"
Tin Toy,1988,30-Dec-88,John Lasseter,Won 1 Oscar. Another 3 wins.,"9,253"
Tinker Bell,2008,28-Oct-08,Bradley Raymond,N/A,"11,194"
Tinker Bell and the Great Fairy Rescue,2010,21-Sep-10,Bradley Raymond,1 win & 1 nomination.,"7,103"
Tinker Bell and the Lost Treasure,2009,27-Oct-09,Klay Hall,1 nomination.,"9,233"
Titanic: 20 Years Later with James Cameron,2017,26-Nov-17,Thomas C. Grane,N/A,273
Toby Tortoise Returns,1936,22-Aug-36,Wilfred Jackson,N/A,532
Togo,2019,20-Dec-19,Ericson Core,1 win & 2 nominations.,"24,630"
Tom and Huck,1995,22-Dec-95,Peter Hewitt,1 win & 5 nominations.,"9,519"
Toy Story,1995,22-Nov-95,John Lasseter,Nominated for 3 Oscars. Another 27 wins & 20 nominations.,"8,46,332"
Toy Story 2,1999,24-Nov-99,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)",Nominated for 1 Oscar. Another 21 wins & 26 nominations.,"5,04,561"
Toy Story 3,2010,18-Jun-10,Lee Unkrich,Won 2 Oscars. Another 60 wins & 95 nominations.,"7,29,086"
Toy Story 4,2019,21-Jun-19,Josh Cooley,Won 1 Oscar. Another 49 wins & 53 nominations.,"1,72,068"
Toy Story Toons: Hawaiian Vacation,2011,24-Jun-11,Gary Rydstrom,N/A,"7,148"
,,,,,
Toy Story Toons: Small Fry,2011,23-Nov-11,"Angus MacLane, Dylan Brown",N/A,"5,326"
Trail of the Panda,2009,N/A,Zhong Yu,N/A,139
Trailer Horn,1950,28-Apr-50,Jack Hannah,N/A,359
Treasure Island,1950,19-Jul-50,Byron Haskin,1 nomination.,"6,611"
Treasure of Matecumbe,1976,01-Jul-76,Vincent McEveety,N/A,412
Treasure Planet,2002,27-Nov-02,"Ron Clements, John Musker",Nominated for 1 Oscar. Another 1 win & 13 nominations.,"96,646"
,,,,,
TRON,1982,09-Jul-82,Steven Lisberger,Nominated for 2 Oscars. Another 2 wins & 6 nominations.,"1,10,110"
TRON: Uprising,2012–2013,20-May-12,N/A,Won 1 Primetime Emmy. Another 2 wins & 6 nominations.,"7,409"
TRON: Legacy,2010,17-Dec-10,Joseph Kosinski,Nominated for 1 Oscar. Another 10 wins & 49 nominations.,"3,06,175"
Tru Confessions,2002,05-Apr-02,Paul Hoen,1 win.,"2,866"
Tuck Everlasting,2002,11-Oct-02,Jay Russell,1 win & 3 nominations.,"20,533"
Tugboat Mickey,1940,26-Apr-40,Clyde Geronimi,N/A,650
Turner & Hooch,1989,28-Jul-89,Roger Spottiswoode,1 win & 1 nomination.,"61,665"
Tutankhamen's Treasures,2018,24-Mar-18,N/A,N/A,31
'Twas the Night,2001,07-Dec-01,Nick Castle,1 win & 3 nominations.,719
Twitches,2005,14-Oct-05,Stuart Gillard,1 win.,"6,703"
Twitches Too,2007,12-Oct-07,Stuart Gillard,N/A,"3,961"
Unidentified Flying Oddball,1979,26-Jul-79,Russ Mayberry,N/A,917
,,,,,
Unlikely Animal Friends,2012–,13-Jan-12,N/A,N/A,72
Up,2009,29-May-09,"Pete Docter, Bob Peterson(co-director)",Won 2 Oscars. Another 78 wins & 82 nominations.,"8,95,906"
"Up, Up, and Away!",2000,22-Jan-00,Robert Townsend,1 nomination.,"1,736"
Valiant,2005,19-Aug-05,Gary Chapman,2 nominations.,"20,118"
Viking Warrior Women,2019,07-Jun-19,"David Bartlett, Sebastian Peiter",N/A,14
Violetta,2012–,14-May-12,N/A,1 win & 2 nominations.,"1,892"
Waking Sleeping Beauty,2009,06-Oct-10,Don Hahn,2 wins & 2 nominations.,"2,253"
WALL·E,2008,27-Jun-08,Andrew Stanton,Won 1 Oscar. Another 91 wins & 93 nominations.,"9,55,757"
,,,,,
Water Birds,1952,26-Jun-52,Ben Sharpsteen,Won 1 Oscar. Another 1 nomination.,111
