title,year,released_at,director,awards,imdb_votes
Family Sundays,2019–,12-Nov-19,N/A,N/A,9
Fancy Nancy,2018–,13-Jul-18,N/A,2 nominations.,193
Fast Layne,2019,15-Feb-19,N/A,N/A,144
,,,,,
Girl Vs. Monster,2012,12-Oct-12,Stuart Gillard,1 win & 2 nominations.,"2,403"
Gravity Falls,2012–2016,15-Jun-12,N/A,Won 2 Primetime Emmys. Another 11 wins & 34 nominations.,"63,771"
,,,,,
I Didn't Do It,2014–2015,N/A,N/A,N/A,"2,047"
Insider,2020–,20-Mar-20,N/A,N/A,5
Jake and the Never Land Pirates,2011–2016,14-Feb-11,N/A,3 wins & 9 nominations.,"1,227"
Jonas,2009–2010,02-May-09,N/A,Nominated for 1 Primetime Emmy. Another 5 wins & 6 nominations.,"5,555"
Disney Junior Music Nursery Rhymes,2018–,N/A,N/A,N/A,N/A
K.C. Undercover,2015–2018,18-Jan-15,N/A,Nominated for 2 Primetime Emmys. Another 4 wins & 7 nominations.,"2,979"
,,,,,
Lab Rats: Elite Force,2016–2019,02-Mar-16,N/A,1 win & 1 nomination.,837
Legend of the Three Caballeros,2018–,12-Nov-19,N/A,N/A,153
,,,,,
Mickey Mouse Clubhouse,2006–2016,05-May-06,N/A,1 win & 14 nominations.,"2,253"
Milo Murphy's Law,2016–,03-Oct-16,N/A,6 nominations.,"1,578"
Minnie's Bow-Toons,2011–2016,14-Nov-11,N/A,1 win & 1 nomination.,35
Phineas and Ferb: Star Wars,2014,26-Jul-14,"Robert Hughes, Sue Perrotto",N/A,492
,,,,,
,,,,,
Randy Cunningham: 9th Grade Ninja,2012–2015,13-Aug-12,N/A,1 win & 4 nominations.,652
Raven's Home,2017–,21-Jul-17,N/A,2 wins & 6 nominations.,"2,046"
Star vs. the Forces of Evil,2015–2019,N/A,N/A,5 wins & 13 nominations.,"9,623"
Stuck in the Middle,2016–2018,14-Feb-16,N/A,4 wins & 4 nominations.,"1,291"
Sydney to the Max,2019–,N/A,N/A,N/A,223
Take Two with Phineas and Ferb,2010–,03-Dec-10,N/A,N/A,186
,,,,,
The Lion Guard,2016–,15-Jan-16,N/A,10 nominations.,"1,371"
Under the Sea: A Descendants Story,2018,28-Sep-18,Hasraf Dulull,N/A,181
Vampirina,2017–,01-Oct-17,N/A,1 win & 4 nominations.,530
,,,,,
Adventures of the Gummi Bears,1985–1991,14-Sep-85,N/A,5 nominations.,"8,913"
Disney's Doug,1996–1999,07-Sep-96,N/A,2 nominations.,282
DuckTales,1987–1990,18-Sep-87,N/A,2 wins & 5 nominations.,"27,880"
,,,,,
Holiday Magic,2017,11-Dec-17,N/A,N/A,N/A
Hercules,1998–1999,31-Aug-98,N/A,2 wins & 4 nominations.,"9,244"
Kim Possible,2002–2007,07-Jun-02,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 14 nominations.,"22,207"
